ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	кадр	блоб	bbox	площадь	rgb	score
464	44	0.972	стакан-марка-красная	7.6	5.5	порода-охристая	0.571	44.3	8.0	8.0	11.3	маска	DJI_20260813183004_0001_Z_03m40s.jpg	33	4,279,10,4	30	122,100,92	101.4
465	24	0.973	стакан-марка-красная	2.2	26.1	снег-розовый	1.070	75.9	10.0	-1.0	10.0	маска	DJI_20260813183004_0001_Z_01m56s.jpg	35	1845,252,5,5	22	213,193,198	90.7
466	93	0.973	рюкзак-синий	7.1	11.4	снег-в-тени	0.765	50.2	6.0	-9.0	10.8	маска	DJI_20260813183028_0002_Z.JPG	128	61,1144,5,9	38	117,112,129	126.6
467	119	0.976	палка-древко-контроль	6.3	16.0	снег-в-тени	0.838	57.6	-6.0	-9.0	10.8	маска	DJI_20260813183140_0012_Z.JPG	251	2871,845,4,2	8	113,137,148	27.2
468	94	0.977	рюкзак-синий	7.8	0.8	снег-в-тени	0.950	38.0	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	347	501,1303,3,2	6	91,86,103	19.4
469	45	0.978	стакан-марка-красная	7.6	6.3	порода-охристая	0.825	56.1	8.0	8.0	11.3	маска	DJI_20260813183004_0001_Z_03m40s.jpg	34	591,579,6,8	30	155,131,125	96.0
470	31	0.979	стакан-марка-красная	7.8	2.0	порода-охристая	0.869	47.8	16.0	7.0	17.5	маска	C0049_00m18s.png	8	779,709,16,10	71	138,102,101	296.9
471	84	0.982	рюкзак-синий	7.8	2.9	снег-в-тени	0.981	35.9	7.0	-9.0	11.4	маска	DJI_20260813183101_0008_Z.JPG	237	167,437,4,4	13	89,82,99	41.8
472	95	0.982	рюкзак-синий	7.8	3.0	снег-в-тени	0.910	41.8	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	207	529,1139,4,8	21	96,88,105	66.0
473	25	0.983	стакан-марка-красная	5.4	20.0	порода-охристая	0.841	29.8	8.0	5.5	9.7	маска	DJI_20260813183004_0001_Z_01m56s.jpg	68	1349,891,3,4	10	87,68,64	33.7
474	96	0.983	рюкзак-синий	7.8	3.3	снег-в-тени	0.987	35.5	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	157	1357,615,4,10	29	82,75,89	99.7
475	97	0.984	рюкзак-синий	7.8	3.5	снег-в-тени	0.990	35.3	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	132	149,991,4,9	33	90,82,99	122.5
476	98	0.984	рюкзак-синий	7.8	3.6	снег-в-тени	0.905	42.4	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	158	101,1090,4,8	29	103,96,113	99.4
477	32	0.985	стакан-марка-красная	7.6	7.1	порода-охристая	0.553	42.7	8.0	8.0	11.3	маска	C0049_00m18s.png	94	1387,946,4,2	8	123,101,92	31.0
478	85	0.986	стакан-марка-красная	6.7	14.5	снег-в-тени	1.158	35.3	8.0	-5.0	9.4	маска	DJI_20260813183101_0008_Z.JPG	152	3433,21,8,6	35	100,87,100	128.1
479	26	0.987	стакан-марка-красная	5.8	18.6	снег-розовый	0.959	68.4	8.0	6.0	10.0	маска	DJI_20260813183004_0001_Z_01m56s.jpg	56	408,675,4,4	13	175,149,143	50.7
480	120	0.987	рюкзак-синий	5.8	18.7	снег-в-тени	0.620	57.5	4.0	-9.0	9.8	маска	DJI_20260813183140_0012_Z.JPG	137	2656,2079,7,9	27	127,126,145	113.0
481	55	0.989	стакан-марка-красная	5.1	21.2	снег-в-тени	1.510	28.6	10.0	-4.0	10.8	маска	DJI_20260813183534_0014_Z_00m31s.jpg	48	380,659,4,14	37	89,71,81	126.7
482	33	0.989	рюкзак-синий	7.2	11.4	снег-в-тени	0.914	50.2	7.0	-10.0	12.2	маска	C0049_00m18s.png	88	1587,883,4,6	13	123,114,131	38.4
483	121	0.995	палка-древко-бирюзовое	6.3	16.9	снег-пересвеченный	1.614	69.4	-13.0	-10.0	16.4	маска	DJI_20260813183140_0012_Z.JPG	211	2667,947,3,4	11	130,176,185	42.4
484	86	0.996	рюкзак-синий	5.7	19.6	снег-в-тени	0.773	58.4	5.0	-10.0	11.2	маска	DJI_20260813183101_0008_Z.JPG	70	381,1055,12,11	97	138,137,154	379.2
485	46	0.996	стакан-марка-красная	7.6	8.2	порода-охристая	0.542	41.6	8.0	8.0	11.3	маска	DJI_20260813183004_0001_Z_03m40s.jpg	70	189,338,4,3	11	118,96,88	34.0
486	122	0.996	палка-ручка-пробка	7.3	11.4	лишайник-жёлтый-на-камне	0.790	87.1	3.0	16.0	16.3	bbox	DJI_20260813183140_0012_Z.JPG	287	1357,1504,2,3	6	237,215,188	20.6
487	123	0.997	палка-древко-контроль	6.0	18.4	снег-в-тени	1.098	60.0	-8.0	-9.0	12.0	маска	DJI_20260813183140_0012_Z.JPG	87	1389,1483,7,22	74	120,150,161	265.9
488	99	1.000	рюкзак-синий	7.6	8.6	снег-в-тени	1.239	30.2	8.0	-11.0	13.6	маска	DJI_20260813183028_0002_Z.JPG	83	749,513,9,10	57	92,85,100	214.6
489	47	1.001	стакан-марка-красная	7.6	8.6	порода-охристая	0.540	41.2	8.0	8.0	11.3	маска	DJI_20260813183004_0001_Z_03m40s.jpg	1	119,258,23,13	143	118,95,87	551.2
490	100	1.001	рюкзак-синий	7.2	12.2	снег-в-тени	0.917	51.0	7.0	-10.0	12.2	маска	DJI_20260813183028_0002_Z.JPG	17	577,1057,18,32	260	121,118,130	1000.0
491	101	1.002	рюкзак-синий	6.4	16.9	снег-в-тени	0.697	55.7	5.0	-9.0	10.3	маска	DJI_20260813183028_0002_Z.JPG	278	1711,199,5,5	14	112,108,123	36.0
492	27	1.002	стакан-марка-красная	6.3	17.3	порода-охристая	0.597	32.5	9.0	7.0	11.4	маска	DJI_20260813183004_0001_Z_01m56s.jpg	13	465,817,13,10	76	90,69,65	276.3
493	56	1.003	палка-ручка-пробка	6.3	17.3	лишайник-жёлтый-на-камне	0.674	58.4	-1.0	21.0	21.0	маска	DJI_20260813183534_0014_Z_00m31s.jpg	121	212,726,4,4	14	146,132,98	49.1
494	102	1.003	рюкзак-синий	7.8	6.5	снег-в-тени	0.888	45.3	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	281	225,872,3,4	11	108,101,118	35.3
495	87	1.004	рюкзак-синий	5.7	20.0	снег-в-тени	1.235	18.8	5.0	-10.0	11.2	маска	DJI_20260813183101_0008_Z.JPG	134	2073,740,9,8	48	60,59,73	166.7
496	34	1.005	стакан-марка-красная	3.2	25.9	порода-в-тени	1.263	23.9	8.0	0.0	8.0	маска	C0049_00m18s.png	101	468,213,3,4	10	69,55,58	29.4
497	57	1.006	палка-ручка-пробка	7.2	12.5	лишайник-жёлтый-на-камне	0.929	88.2	-1.0	19.0	19.0	маска	DJI_20260813183534_0014_Z_00m31s.jpg	149	377,1030,3,4	10	228,218,185	37.2
498	103	1.008	рюкзак-синий	8.1	0.8	снег-в-тени	1.071	39.6	8.0	-10.0	12.8	маска	DJI_20260813183028_0002_Z.JPG	18	1119,105,20,45	240	122,118,128	992.2
499	58	1.009	палка-ручка-пробка	8.1	1.6	лишайник-жёлтый-на-камне	0.638	74.1	-2.0	19.0	19.1	маска	DJI_20260813183534_0014_Z_00m31s.jpg	76	145,692,5,6	25	187,177,147	86.1
500	104	1.010	рюкзак-синий	8.1	1.9	снег-в-тени	1.102	36.9	8.0	-10.0	12.8	маска	DJI_20260813183028_0002_Z.JPG	91	2047,63,9,7	51	96,89,107	192.4
501	59	1.011	стакан-марка-красная	7.1	13.7	снег-в-тени	0.994	36.1	6.0	-4.0	7.2	маска	DJI_20260813183534_0014_Z_00m31s.jpg	123	538,770,6,7	17	95,83,86	48.9
502	60	1.011	палка-ручка-пробка	8.1	2.3	лишайник-жёлтый-на-камне	0.716	78.0	-2.0	19.0	19.1	маска	DJI_20260813183534_0014_Z_00m31s.jpg	5	42,863,22,33	193	179,167,141	727.8
503	48	1.013	стакан-марка-красная	8.1	2.7	порода-охристая	0.697	47.1	7.0	8.0	10.6	bbox	DJI_20260813183004_0001_Z_03m40s.jpg	94	61,155,3,2	6	128,107,98	19.9
504	124	1.014	рюкзак-синий	7.3	12.5	снег-в-тени	1.357	26.3	8.0	-12.0	14.4	маска	DJI_20260813183140_0012_Z.JPG	165	2441,1513,3,8	20	65,59,79	76.0
505	105	1.016	стакан-марка-красная	6.7	16.1	снег-в-тени	1.180	33.7	8.0	-5.0	9.4	маска	DJI_20260813183028_0002_Z.JPG	329	1670,1924,4,3	9	107,94,107	23.5
506	125	1.016	стакан-марка-красная	6.7	16.1	порода-охристая	0.647	33.7	8.0	7.0	10.6	маска	DJI_20260813183140_0012_Z.JPG	77	314,1722,15,13	91	99,77,71	306.5
507	88	1.018	стакан-марка-красная	7.1	14.1	снег-в-тени	1.346	35.7	10.0	-6.0	11.7	маска	DJI_20260813183101_0008_Z.JPG	64	3776,401,13,14	105	111,98,110	414.9
508	61	1.019	стакан-марка-красная	6.4	17.6	снег-в-тени	1.152	32.2	7.0	-4.0	8.1	маска	DJI_20260813183534_0014_Z_00m31s.jpg	158	542,759,3,4	10	87,74,82	33.5
509	28	1.020	палка-ручка-пробка	7.2	13.3	лишайник-жёлтый-на-камне	0.882	62.4	9.0	17.0	19.2	маска	DJI_20260813183004_0001_Z_01m56s.jpg	30	417,714,7,5	27	185,153,131	119.0
510	106	1.020	рюкзак-синий	7.8	8.3	снег-в-тени	0.884	47.1	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	135	681,723,7,9	36	113,108,124	119.0
511	89	1.020	рюкзак-синий	7.8	8.3	снег-в-тени	0.884	47.1	7.0	-9.0	11.4	маска	DJI_20260813183101_0008_Z.JPG	128	1133,177,6,8	44	124,116,135	175.7
512	126	1.020	палка-ручка-пробка	7.3	12.9	лишайник-жёлтый-на-камне	0.845	88.6	3.0	16.0	16.3	маска	DJI_20260813183140_0012_Z.JPG	131	1352,1493,6,6	30	240,217,190	119.9
513	90	1.021	стакан-марка-красная	4.5	23.9	порода-в-тени	1.411	25.9	9.0	-3.0	9.5	маска	DJI_20260813183101_0008_Z.JPG	140	511,1093,8,7	43	80,63,70	158.0
514	107	1.021	рюкзак-синий	7.8	8.4	снег-в-тени	1.081	30.4	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	143	16,698,6,6	29	80,73,89	110.8
515	127	1.022	рюкзак-синий	5.1	22.4	снег-в-тени	0.494	61.2	0.0	-9.0	9.0	маска	DJI_20260813183140_0012_Z.JPG	98	2419,1975,13,9	55	116,125,142	233.6
516	62	1.024	стакан-марка-красная	7.8	8.4	снег-в-тени	0.881	41.4	4.0	-2.5	4.7	маска	DJI_20260813183534_0014_Z_00m31s.jpg	185	270,498,2,3	6	106,99,104	22.7
517	108	1.028	рюкзак-синий	7.8	9.0	снег-в-тени	0.884	47.8	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	258	622,698,5,5	15	120,113,129	43.6
518	91	1.029	стакан-марка-красная	6.3	18.4	снег-в-тени	1.323	31.4	9.0	-5.0	10.3	маска	DJI_20260813183101_0008_Z.JPG	105	805,92,7,12	63	86,71,83	237.1
519	109	1.029	рюкзак-синий	8.1	5.9	снег-в-тени	1.159	32.9	8.0	-10.0	12.8	маска	DJI_20260813183028_0002_Z.JPG	264	1760,558,4,4	13	88,80,96	42.2
520	49	1.031	стакан-марка-красная	8.2	1.0	порода-охристая	0.566	50.8	9.0	9.0	12.7	маска	DJI_20260813183004_0001_Z_03m40s.jpg	3	765,707,24,13	127	154,130,120	488.9
521	92	1.035	стакан-марка-красная	8.2	2.7	порода-охристая	0.470	47.1	9.0	9.0	12.7	маска	DJI_20260813183101_0008_Z.JPG	35	3206,1506,18,16	190	129,105,96	766.4
522	93	1.036	стакан-марка-красная	5.0	23.1	порода-в-тени	1.294	26.7	8.0	-3.0	8.5	маска	DJI_20260813183101_0008_Z.JPG	248	2607,558,5,3	11	73,61,70	36.8
523	110	1.036	стакан-марка-красная	6.4	18.4	снег-в-тени	1.166	31.4	7.0	-4.0	8.1	bbox	DJI_20260813183028_0002_Z.JPG	367	1391,392,2,3	6	83,72,82	16.1
524	21	1.036	стакан-марка-красная	3.0	27.1	порода-в-тени	1.278	22.7	8.0	1.0	8.1	маска	DJI_20260813183727_0015_Z_03m32s.jpg	7	166,1062,25,18	216	121,107,108	862.4
525	94	1.038	рюкзак-синий	8.2	4.5	снег-в-тени	1.061	34.3	7.5	-9.0	11.7	маска	DJI_20260813183101_0008_Z.JPG	259	207,760,2,5	10	86,78,94	31.6
526	111	1.039	рюкзак-синий	7.1	15.3	снег-в-тени	0.793	54.1	6.0	-9.0	10.8	маска	DJI_20260813183028_0002_Z.JPG	211	1116,189,5,6	21	119,112,129	62.3
527	112	1.039	рюкзак-синий	7.1	15.3	снег-в-тени	0.793	54.1	6.0	-9.0	10.8	маска	DJI_20260813183028_0002_Z.JPG	298	143,1400,4,3	10	130,124,141	30.6
528	63	1.040	стакан-марка-красная	6.1	19.8	снег-в-тени	1.238	30.0	7.5	-4.0	8.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	85	932,234,6,5	21	85,71,77	74.0
529	64	1.040	палка-ручка-пробка	6.4	18.6	лишайник-жёлтый-на-камне	1.088	94.3	0.0	19.0	19.0	маска	DJI_20260813183534_0014_Z_00m31s.jpg	125	61,735,4,4	12	241,223,192	47.1
530	128	1.041	стакан-марка-красная	3.6	26.3	порода-в-тени	1.255	23.5	8.0	-1.0	8.1	маска	DJI_20260813183140_0012_Z.JPG	31	2967,2100,24,19	252	71,56,60	888.5
531	113	1.041	рюкзак-синий	7.6	11.8	снег-в-тени	1.073	50.6	8.0	-11.0	13.6	маска	DJI_20260813183028_0002_Z.JPG	88	701,647,8,11	54	125,118,136	201.7
532	35	1.041	рюкзак-синий	7.6	11.8	снег-в-тени	1.073	50.6	8.0	-11.0	13.6	маска	C0049_00m18s.png	30	609,971,6,8	36	148,139,158	127.5
533	129	1.041	стакан-марка-красная	4.2	25.1	порода-охристая	1.070	24.7	8.0	4.0	8.9	маска	DJI_20260813183140_0012_Z.JPG	246	3335,664,3,3	9	73,55,51	28.7
534	114	1.042	рюкзак-синий	8.1	7.4	снег-в-тени	1.186	31.4	8.0	-10.0	12.8	маска	DJI_20260813183028_0002_Z.JPG	46	421,501,11,19	115	87,80,95	470.7
535	130	1.045	палка-древко-контроль	6.0	20.4	снег-в-тени	1.128	62.0	-8.0	-9.0	12.0	маска	DJI_20260813183140_0012_Z.JPG	201	2179,1128,7,3	15	110,143,153	46.7
536	115	1.046	рюкзак-синий	8.3	3.1	снег-в-тени	1.106	35.7	8.0	-9.5	12.4	маска	DJI_20260813183028_0002_Z.JPG	315	337,577,3,3	8	86,77,94	25.9
537	131	1.047	палка-древко-бирюзовое	8.2	5.1	снег-в-тени	1.663	57.6	-13.0	-8.0	15.3	маска	DJI_20260813183140_0012_Z.JPG	208	2653,935,4,4	13	105,145,153	43.4
538	65	1.047	стакан-марка-красная	5.0	23.5	порода-в-тени	1.151	26.3	7.0	-2.0	7.3	маска	DJI_20260813183534_0014_Z_00m31s.jpg	129	993,261,5,3	13	68,54,58	45.1
539	36	1.047	рюкзак-синий	7.2	14.9	снег-в-тени	0.934	53.7	7.0	-10.0	12.2	маска	C0049_00m18s.png	82	593,922,6,5	14	148,139,155	41.3
540	116	1.049	рюкзак-синий	7.8	10.8	снег-в-тени	1.131	28.0	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	240	872,756,5,5	15	74,67,80	50.2
541	95	1.050	стакан-марка-красная	8.1	8.2	порода-охристая	0.635	41.6	7.0	8.0	10.6	маска	DJI_20260813183101_0008_Z.JPG	233	1893,1321,4,4	16	113,93,85	43.0
542	117	1.050	рюкзак-синий	6.4	19.0	снег-в-тени	0.731	57.8	5.0	-9.0	10.3	маска	DJI_20260813183028_0002_Z.JPG	198	1044,286,6,6	23	145,142,158	74.8
543	29	1.052	стакан-марка-красная	3.2	27.3	порода-в-тени	1.379	22.5	9.0	-1.5	9.1	маска	DJI_20260813183004_0001_Z_01m56s.jpg	50	775,946,3,5	13	67,50,56	60.0
544	132	1.054	палка-древко-контроль	6.0	20.8	снег-в-тени	1.134	62.4	-8.0	-9.0	12.0	маска	DJI_20260813183140_0012_Z.JPG	206	2192,1123,6,3	13	115,149,159	43.9
545	96	1.055	стакан-марка-красная	2.8	27.8	порода-в-тени	1.376	22.0	9.0	-1.0	9.1	маска	DJI_20260813183101_0008_Z.JPG	283	2149,683,2,3	6	66,49,55	21.5
546	133	1.058	рюкзак-синий	7.6	12.9	снег-в-тени	1.697	25.9	8.0	-17.0	18.8	маска	DJI_20260813183140_0012_Z.JPG	26	1563,615,24,21	253	93,92,115	1123.2
547	22	1.058	стакан-марка-красная	8.2	6.7	порода-охристая	0.736	56.5	9.0	9.0	12.7	маска	DJI_20260813183727_0015_Z_03m32s.jpg	3	673,817,26,28	302	155,136,127	1132.8
548	66	1.059	палка-ручка-контроль	8.0	9.8	порода-охристая	1.942	47.8	14.0	26.0	29.5	маска	DJI_20260813183534_0014_Z_00m31s.jpg	0	114,1000,24,54	751	166,133,105	3040.4
549	97	1.060	рюкзак-синий	5.8	21.5	снег-в-тени	1.376	17.3	6.0	-11.0	12.5	маска	DJI_20260813183101_0008_Z.JPG	30	2095,574,25,13	202	60,57,73	817.9
550	134	1.061	палка-древко-контроль	7.3	15.3	снег-в-тени	1.291	56.9	-10.0	-8.0	12.8	маска	DJI_20260813183140_0012_Z.JPG	178	2560,960,5,4	18	107,141,148	63.8
551	98	1.065	рюкзак-синий	5.8	21.7	снег-в-тени	1.213	17.1	4.0	-9.0	9.8	маска	DJI_20260813183101_0008_Z.JPG	51	1827,602,21,18	141	57,57,69	538.7
552	99	1.065	рюкзак-синий	5.4	23.1	порода-в-тени	1.191	15.7	3.0	-9.0	9.5	маска	DJI_20260813183101_0008_Z.JPG	228	1911,430,2,7	14	36,38,50	45.9
553	100	1.065	рюкзак-синий	5.4	23.1	порода-в-тени	1.191	15.7	3.0	-9.0	9.5	маска	DJI_20260813183101_0008_Z.JPG	236	1905,438,5,7	15	37,40,51	41.9
554	118	1.065	стакан-марка-красная	6.3	20.0	снег-в-тени	1.349	29.8	9.0	-5.0	10.3	маска	DJI_20260813183028_0002_Z.JPG	59	1109,1983,15,9	94	94,80,91	356.5
555	101	1.065	стакан-марка-красная	6.3	20.0	снег-в-тени	1.349	29.8	9.0	-5.0	10.3	маска	DJI_20260813183101_0008_Z.JPG	176	2453,1246,6,5	26	83,69,80	94.6
556	37	1.065	стакан-марка-красная	6.3	20.0	порода-охристая	0.638	29.8	9.0	7.0	11.4	маска	C0049_00m18s.png	33	798,723,5,6	29	88,67,63	108.2
557	119	1.069	рюкзак-синий	7.8	12.2	снег-в-тени	0.891	51.0	7.0	-9.0	11.4	маска	DJI_20260813183028_0002_Z.JPG	93	1120,155,7,11	52	122,115,131	184.7
558	102	1.069	стакан-марка-красная	3.5	27.3	порода-в-тени	1.316	22.5	8.5	-1.5	8.6	маска	DJI_20260813183101_0008_Z.JPG	299	903,1553,3,2	6	65,50,56	18.8
559	50	1.072	палка-ручка-пробка	8.5	4.3	лишайник-жёлтый-на-камне	0.430	71.4	-1.0	17.0	17.0	маска	DJI_20260813183004_0001_Z_03m40s.jpg	18	652,151,9,9	54	186,174,146	209.6
560	120	1.073	стакан-марка-красная	8.4	6.5	снег-в-тени	1.112	56.3	8.5	-7.0	11.0	маска	DJI_20260813183028_0002_Z.JPG	261	903,360,4,4	13	135,124,138	42.7
561	135	1.074	палка-древко-контроль	6.0	21.5	снег-в-тени	1.147	63.1	-8.0	-9.0	12.0	маска	DJI_20260813183140_0012_Z.JPG	147	2173,1195,9,6	28	120,151,164	100.2
562	67	1.077	палка-ручка-пробка	8.5	3.9	лишайник-жёлтый-на-камне	0.886	79.6	-3.0	20.0	20.2	маска	DJI_20260813183534_0014_Z_00m31s.jpg	32	65,899,8,14	51	213,205,174	197.2
563	121	1.079	рюкзак-синий	8.6	2.3	снег-в-тени	1.086	36.5	8.0	-9.0	12.0	маска	DJI_20260813183028_0002_Z.JPG	90	327,589,9,13	53	105,98,112	195.9
564	68	1.079	палка-ручка-пробка	8.6	2.4	лишайник-жёлтый-на-камне	0.586	73.3	-2.0	18.0	18.1	маска	DJI_20260813183534_0014_Z_00m31s.jpg	100	29,800,3,9	18	199,192,161	62.6
565	122	1.079	рюкзак-синий	8.6	2.4	снег-в-тени	1.035	41.2	8.0	-9.0	12.0	маска	DJI_20260813183028_0002_Z.JPG	87	1121,174,8,13	57	108,102,112	206.5
566	103	1.080	стакан-марка-красная	4.5	25.9	порода-в-тени	1.403	23.9	9.0	-3.0	9.5	маска	DJI_20260813183101_0008_Z.JPG	86	3737,710,11,13	79	93,79,87	299.6
567	38	1.080	рюкзак-синий	8.2	9.0	снег-в-тени	1.231	47.8	9.0	-12.0	15.0	маска	C0049_00m18s.png	42	457,957,8,4	24	129,121,138	85.1
568	136	1.082	палка-древко-контроль	6.1	21.5	снег-в-тени	1.040	63.1	-7.0	-9.0	11.4	маска	DJI_20260813183140_0012_Z.JPG	58	1526,1409,23,11	109	120,152,165	424.4
569	69	1.083	стакан-марка-красная	5.1	24.5	порода-в-тени	1.556	25.3	10.0	-4.0	10.8	маска	DJI_20260813183534_0014_Z_00m31s.jpg	16	49,25,17,22	105	147,142,145	374.9
570	123	1.083	рюкзак-синий	5.7	23.0	снег-в-тени	0.838	61.8	5.0	-10.0	11.2	маска	DJI_20260813183028_0002_Z.JPG	231	1099,222,6,4	18	145,145,161	55.8
571	137	1.083	палка-ручка-контроль	6.3	20.7	порода-охристая	1.187	36.9	8.0	20.0	21.5	маска	DJI_20260813183140_0012_Z.JPG	39	1288,1478,21,17	168	130,102,75	699.4
572	104	1.084	стакан-марка-красная	7.6	14.5	порода-охристая	0.542	35.3	8.0	8.0	11.3	маска	DJI_20260813183101_0008_Z.JPG	97	2079,1745,16,20	68	103,84,75	265.3
573	124	1.085	рюкзак-синий	8.6	4.1	снег-в-тени	1.023	42.9	8.0	-9.0	12.0	маска	DJI_20260813183028_0002_Z.JPG	181	926,646,5,9	27	97,88,103	84.7
574	39	1.087	рюкзак-синий	8.3	8.8	снег-в-тени	1.017	47.6	8.0	-9.5	12.4	маска	C0049_00m18s.png	37	227,947,5,10	26	126,115,132	97.0
575	70	1.087	палка-ручка-пробка	8.6	4.5	лишайник-жёлтый-на-камне	0.595	80.2	0.0	16.0	16.0	bbox	DJI_20260813183534_0014_Z_00m31s.jpg	210	170,503,2,3	6	212,198,169	18.7
576	138	1.090	палка-древко-контроль	7.6	14.9	снег-в-тени	1.409	56.5	-11.0	-8.0	13.6	маска	DJI_20260813183140_0012_Z.JPG	176	2704,905,11,4	20	105,141,149	65.0
577	125	1.091	рюкзак-синий	8.6	5.1	снег-в-тени	1.017	43.9	8.0	-9.0	12.0	маска	DJI_20260813183028_0002_Z.JPG	193	169,1441,5,7	23	94,86,102	77.4
578	30	1.094	палка-ручка-пробка	7.1	18.1	лишайник-жёлтый-на-камне	0.396	57.6	4.0	16.0	16.5	маска	DJI_20260813183004_0001_Z_01m56s.jpg	65	695,1029,4,3	11	153,133,110	39.5
579	105	1.095	стакан-марка-красная	2.8	29.0	порода-в-тени	1.375	20.8	9.0	-1.0	9.1	маска	DJI_20260813183101_0008_Z.JPG	208	2142,686,5,5	18	60,45,51	64.4
580	106	1.097	стакан-марка-красная	7.6	15.3	снег-в-тени	1.135	34.5	8.0	-6.0	10.0	маска	DJI_20260813183101_0008_Z.JPG	160	3577,1309,7,6	33	93,81,94	118.5
581	139	1.098	стакан-марка-красная	7.1	18.2	порода-охристая	0.465	31.6	12.0	8.0	14.4	маска	DJI_20260813183140_0012_Z.JPG	4	235,1725,42,68	1401	118,91,85	5685.5
582	71	1.099	стакан-марка-красная	8.5	7.3	снег-в-тени	1.025	42.5	8.0	-7.0	10.6	маска	DJI_20260813183534_0014_Z_00m31s.jpg	43	458,15,13,8	38	129,119,128	139.2
583	107	1.099	стакан-марка-красная	7.3	17.3	порода-охристая	0.497	32.5	13.0	8.0	15.3	маска	DJI_20260813183101_0008_Z.JPG	14	775,1362,32,25	455	99,70,67	1843.1
584	126	1.101	стакан-марка-красная	8.5	7.4	снег-в-тени	1.026	42.4	8.0	-7.0	10.6	маска	DJI_20260813183028_0002_Z.JPG	257	719,631,5,3	13	106,95,110	44.1
585	108	1.104	рюкзак-синий	5.0	25.5	порода-в-тени	1.097	13.3	1.0	-9.0	9.1	маска	DJI_20260813183101_0008_Z.JPG	273	2091,1832,4,3	9	32,34,46	25.1
586	40	1.104	стакан-марка-красная	4.5	26.7	порода-в-тени	1.401	23.1	9.0	-3.0	9.5	маска	C0049_00m18s.png	24	1543,509,8,10	38	60,50,58	139.5
587	127	1.104	рюкзак-синий	8.6	7.0	снег-в-тени	1.159	31.8	8.0	-9.0	12.0	маска	DJI_20260813183028_0002_Z.JPG	118	72,891,7,8	39	84,76,92	138.1
588	128	1.105	стакан-марка-красная	7.6	15.7	снег-в-тени	1.141	34.1	8.0	-6.0	10.0	маска	DJI_20260813183028_0002_Z.JPG	283	571,452,3,4	11	88,77,89	34.9
589	140	1.106	рюкзак-синий	7.3	17.6	снег-в-тени	1.468	21.2	8.0	-12.0	14.4	маска	DJI_20260813183140_0012_Z.JPG	262	2071,1393,3,2	6	52,47,68	23.9
590	31	1.111	стакан-марка-красная	6.7	20.4	порода-охристая	0.703	29.4	8.0	7.0	10.6	маска	DJI_20260813183004_0001_Z_01m56s.jpg	39	484,797,6,4	23	87,67,61	77.3
591	41	1.111	рюкзак-синий	8.8	3.0	снег-в-тени	0.903	41.8	7.0	-7.5	10.3	bbox	C0049_00m18s.png	140	661,1019,2,3	6	106,96,112	16.1
592	129	1.111	рюкзак-синий	8.6	7.9	снег-в-тени	1.009	46.7	8.0	-9.0	12.0	маска	DJI_20260813183028_0002_Z.JPG	23	123,1412,15,32	221	126,120,134	853.5
593	130	1.112	стакан-марка-красная	7.6	16.1	снег-в-тени	1.147	33.7	8.0	-6.0	10.0	маска	DJI_20260813183028_0002_Z.JPG	246	2457,2125,4,4	15	113,100,113	48.2
594	131	1.113	стакан-марка-красная	6.1	22.7	порода-охристая	0.656	27.1	10.0	7.0	12.2	маска	DJI_20260813183028_0002_Z.JPG	7	1410,1783,31,33	492	94,78,77	1977.1
595	72	1.114	палка-ручка-контроль	7.3	18.0	порода-охристая	1.645	39.6	13.0	24.0	27.3	маска	DJI_20260813183534_0014_Z_00m31s.jpg	15	362,1067,21,13	104	156,119,87	377.0
596	141	1.117	рюкзак-синий	5.0	25.9	снег-в-тени	0.700	64.7	-2.0	-10.0	10.2	маска	DJI_20260813183140_0012_Z.JPG	106	2929,847,10,6	50	127,144,160	198.8
597	132	1.118	стакан-марка-красная	8.5	9.2	снег-в-тени	1.040	40.6	8.0	-7.0	10.6	маска	DJI_20260813183028_0002_Z.JPG	71	487,893,11,15	73	114,105,118	284.7
598	109	1.118	рюкзак-синий	8.9	0.4	снег-в-тени	1.193	39.2	9.0	-10.0	13.5	маска	DJI_20260813183101_0008_Z.JPG	28	761,1812,15,21	190	128,117,133	885.8
599	133	1.118	рюкзак-синий	8.6	8.6	снег-в-тени	1.188	30.2	8.0	-9.0	12.0	маска	DJI_20260813183028_0002_Z.JPG	322	2018,177,3,3	8	69,60,76	24.0
600	134	1.119	рюкзак-синий	8.9	1.2	снег-в-тени	1.186	40.0	9.0	-10.0	13.5	маска	DJI_20260813183028_0002_Z.JPG	210	561,707,4,5	19	109,99,116	64.0
